#ffffff,N-95
#ffffff,N-93
#fffffd,N-90
#fcfcfb,N-87
#ecedde,N-85
#eeede9,N-82
#e3e2de,N-80
#d6d7d2,N-77
#c8c7c5,N-75
#c1c0be,N-72
#bbbbb9,N-70
#b6b4b5,N-67
#adacaa,N-65
#9e9d9b,N-60
#8e8e8c,N-55
#7b7d7a,N-50
#696b68,N-45
#5a5c59,N-40
#4e504b,N-35
#414640,N-30
#373d33,N-25
#2b322a,N-20
#202d23,N-15
#0f1c12,N-10
#fac8c7,02-80H
#ffbfc0,02-80L
#ff9399,02-70T
#c08e91,02-60H
#be9895,05-60F
#b09b96,05-60D
#947c78,05-50D
#735a53,05-40D
#fffcf9,05-90A
#f4ecea,05-85A
#e5e0dd,05-80A
#d9d1cf,05-75A
#c9c1be,05-70A
#a89d9b,05-60B
#877c7a,05-50B
#695f56,05-40B
#ffffff,05-92B
#fffefa,05-90B
#f9efed,05-85B
#efe1e0,05-80B
#e1d4ce,05-75B
#ccbebd,05-70B
#483e34,05-30B
#302a1c,05-20B
#fff4f0,05-90D
#ffc1ba,05-80L
#d38883,05-60L
#ebd6d3,05-80D
#cfb7b5,05-70D
#9c7973,05-50F
#805b52,05-40F
#573f33,05-30D
#f1a39f,05-70L
#f19d83,07-70L
#f3755f,07-60T
#b66a5c,07-50L
#a0442f,07-40P
#763320,07-30L
#371813,07-30F
#4b2815,07-20H
#facac0,07-80H
#d3aea5,07-70F
#bf8d84,07-60H
#c1917d,09-60H
#9e7a6c,09-50F
#5e2f1f,09-40H
#3b1309,09-30H
#3d2c1c,09-20D
#ffecde,09-90D
#ead7d0,09-80D
#cbb0a7,09-70D
#b3988f,09-60D
#a79a94,09-60B
#5e3d2c,09-30F
#553e30,09-30D
#363020,09-20B
#f1cebb,09-80F
#daad9a,09-70H
#ff9565,09-70T
#d18b72,09-60L
#b46d4f,09-50L
#c7562c,09-50T
#8f4930,09-40L
#74371b,09-30L
#fefdf8,12-90D
#ecccb5,12-80F
#f6c9aa,12-80H
#e4a37b,12-70L
#fea058,12-70T
#a96c3f,12-50L
#a17558,12-50H
#663d1f,12-30H
#fdf6ec,15-90A
#eee8dc,15-85A
#e2dbd1,15-80A
#d3ccc2,15-75A
#c6bfb5,15-70A
#b2a9a0,15-65A
#867c70,15-50B
#685c4c,15-40B
#fff9e9,15-92B
#fef7e7,15-90B
#f4ebdc,15-85B
#e6dace,15-80B
#d8ccbc,15-75B
#c5b9ad,15-70B
#b6aa9e,15-65B
#a4988c,15-60B
#ffe6d0,15-90D
#e7d5bf,15-80D
#cab7a6,15-70D
#ae9b8c,15-60D
#927d68,15-50D
#715d45,15-40D
#5c4428,15-30F
#524127,15-30D
#e8cbad,15-80F
#d1ad8b,15-70H
#b69479,15-60F
#7a5938,15-50F
#813001,15-40P
#7b5934,15-40H
#453c2b,15-30B
#282b18,15-20B
#fecc83,15-80L
#f9a43a,17-70P
#dfb46f,17-70L
#b99d6d,17-60H
#a77619,17-50P
#9f792e,17-50L
#795d2b,17-40H
#564221,17-30F
#ffffff,17-90A
#e8e3e0,17-80A
#b8afa6,17-70B
#90867a,17-60B
#928574,17-60C
#a5937f,17-60D
#867762,17-50D
#6c5d40,17-40D
#fffffb,17-90B
#e7dfd4,17-80B
#ebdaca,17-80C
#c4b39f,17-70C
#d2b184,17-70H
#d1ae88,17-70F
#a2875c,17-60F
#8c7452,17-50F
#fff0d3,17-90D
#eecfa0,17-80H
#ead3aa,17-80F
#e1ceb0,17-80D
#c9b89e,17-70D
#af9b68,19-60H
#927e43,19-50H
#766223,19-40H
#fbf8e9,19-90A
#ebe5d5,19-85A
#e0d9cf,19-80A
#d3cdc1,19-75A
#bfb9ab,19-70A
#b2aba1,19-65A
#8b8680,19-60A
#635a55,19-50A
#fffae6,19-92B
#fcf5e2,19-90B
#f2ebd8,19-85B
#e3dcca,19-80B
#d6cfbc,19-75B
#c5bcab,19-70B
#b4a898,19-65B
#a29988,19-60B
#fffada,19-90C
#f6ebcd,19-85C
#e6dcc1,19-80C
#dbcbb4,19-75C
#c8baa0,19-70C
#a79b83,19-60C
#807b68,19-50B
#635d45,19-40B
#fffad2,19-90D
#fbedc8,19-85D
#f0e2bf,19-80D
#dccbaf,19-75D
#cfc0a1,19-70D
#b9aa8b,19-65D
#aa9a79,19-60D
#8a7b5a,19-50D
#fefbc4,19-90F
#feedb5,19-85F
#f2ddae,19-80F
#d0b98f,19-70F
#b49e75,19-60F
#6d5f32,19-40F
#665c39,19-40D
#4e4325,19-30D
#e6cb7a,19-75L
#dbc162,19-70L
#c39e05,19-60T
#7d6714,19-40L
#8e7c4a,19-50F
#3b3619,19-30B
#404234,19-30A
#2a2f1b,19-20B
#feea89,19-85L
#a29c8e,22-65B
#c5b079,19-70H
#8f8579,19-65C
#f6dd81,19-80L
#c6be76,21-85L
#484421,21-40H
#6c6451,21-50D
#8f896f,21-60D
#bcb396,21-70D
#cbc4ba,21-75B
#dedccd,21-80B
#fbf1e5,21-85B
#fef7e7,21-90B
#968d64,21-60F
#857449,21-60H
#b1a46f,21-70H
#b5a780,21-70F
#c9c2a6,21-75D
#e3ddc3,21-80D
#e7daa5,21-80F
